Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
epoch: 0
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
tensor(3.0366, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5997, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1824, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1009, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8353, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5612, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7787, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3556, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8152, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0548, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5682, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1946, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5226, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0391, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9672, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6577, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8687, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.1344, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1502, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2499, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8368, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.6924, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5164, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0077, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8836, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8835, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8279, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5853, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4423, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2157, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5358, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5205, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4376, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2361, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3884, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7668, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4770, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8591, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9430, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8444, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7916, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9417, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6204, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1201, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1641, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6630, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0919, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0011, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9155, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1205, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1910, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6836, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7669, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6026, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6236, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7157, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7097, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.6578, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0663, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0135, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7903, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4989, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8145, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3296, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6745, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2806, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2192, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.7476, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6134, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4824, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9447, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.0630, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.8657, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3978, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1251, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0989, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8354, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7749, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1429, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5674, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8651, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.4095, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3914, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6720, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3330, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9434, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0021, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.7909, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3307, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1680, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0472, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8836, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3011, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7121, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4133, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1878, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9936, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4067, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3318, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8949, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3444, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1162, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8156, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5389, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9662, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0982, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4862, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8868, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7735, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4380, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8428, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7294, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0896, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4550, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1157, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1142, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6432, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5726, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3861, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6876, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6790, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9915, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3308, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5224, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3099, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9900, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3472, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1574, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7932, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.1275, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8080, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9026, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9910, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1413, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1216, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1821, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8287, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3119, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8716, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1296, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8095, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3532, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4769, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5932, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4960, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5460, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.4076, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9171, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3258, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2032, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7879, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5084, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0735, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8930, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2010, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4660, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6284, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5040, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4327, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7553, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8130, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0689, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4398, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9363, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7774, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2649, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.5656, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5077, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.8525, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3442, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6777, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6586, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7274, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4821, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2400, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2760, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3556, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9476, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3280, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1208, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6240, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8513, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0138, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1627, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8977, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8502, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1658, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2040, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6406, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1466, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8297, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6410, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6964, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8271, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2162, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2732, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4414, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2546, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2213, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6518, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4809, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0871, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1779, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2722, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3445, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1966, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6010, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.0086, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7481, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0603, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2386, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8595, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2054, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5678, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8483, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1479, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7395, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4040, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.1821, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1826, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2910, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1567, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1144, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.0619, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4899, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8295, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8146, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.8920, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5067, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9939, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4563, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8485, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8567, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6706, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4511, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0758, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9245, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5087, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1401, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6617, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4362, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6199, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2255, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3629, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7150, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0558, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1400, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.6416, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1959, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4287, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6483, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7763, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3628, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9315, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4818, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1245, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3945, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3881, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8348, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4733, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2606, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9100, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1258, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8033, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2113, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4000, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0641, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.9702, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0726, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5817, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1762, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.0069, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1038, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9365, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6579, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3783, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0538, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0512, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5144, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7860, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1945, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8750, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6937, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6693, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6264, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6868, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9388, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5548, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.7043, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6725, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9625, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7328, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1351, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3159, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2792, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9564, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6150, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9497, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3938, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3224, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2185, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5816, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7145, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7327, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5993, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5867, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7789, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9914, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3066, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6861, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6165, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.0209, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2266, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4483, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6655, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.5022, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3647, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5197, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8258, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5145, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9021, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2202, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0929, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6994, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3096, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9422, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3326, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3375, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8718, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5569, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2443, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4916, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4686, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2143, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5593, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8635, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0230, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2717, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1071, device='cuda:0', grad_fn=<NllLossBackward0>)
