Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
epoch: 0
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
tensor(4.5172, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3301, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8798, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.4817, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2191, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7239, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6505, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9571, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5646, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8512, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1461, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7158, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6707, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6135, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3110, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4108, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6247, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6535, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7386, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0205, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9185, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8571, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9855, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4617, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4924, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5071, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3597, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9035, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3668, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8565, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.7302, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1221, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0248, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9046, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5076, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2852, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5098, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6156, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5471, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1364, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9051, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5558, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2670, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1159, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4559, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8349, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6149, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3893, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4166, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9593, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8198, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8234, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6454, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6463, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2018, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5463, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1751, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5516, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5594, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3227, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8734, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9950, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1691, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8707, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2704, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5458, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9141, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9225, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7741, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6718, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6660, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0815, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.1582, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7452, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1743, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7781, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.5923, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4652, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7384, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5101, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0562, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9687, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9689, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4857, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2280, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4453, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6856, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6790, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2784, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6321, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6068, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0772, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2999, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4903, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1357, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7067, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6977, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2546, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3164, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8616, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5814, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6249, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4803, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7665, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2319, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6858, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7963, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8111, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1373, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4303, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5691, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7676, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0044, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9613, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6635, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4259, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.4955, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7810, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9810, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7311, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.0036, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3393, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1710, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3974, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9462, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6323, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.8699, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7337, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4642, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6663, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3411, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9419, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5934, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7443, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9369, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2042, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5823, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.6313, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4179, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8584, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8599, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7313, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4467, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2704, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3270, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3292, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4920, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2665, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9875, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3818, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4236, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2386, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4574, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9025, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6919, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.2584, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8657, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3625, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3397, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3961, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5712, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4281, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1320, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1630, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3429, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3559, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4888, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8292, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6242, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1134, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1497, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3059, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9961, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7389, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8708, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7085, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7300, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.6485, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9850, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9996, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.6582, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3249, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4805, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0576, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6515, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3578, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.7071, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0613, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3988, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8606, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6315, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3986, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0102, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0428, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2087, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2302, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7878, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2990, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6996, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2286, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7269, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7075, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4925, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0340, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5321, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3987, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1098, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3717, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6778, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4208, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5436, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8968, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6423, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3488, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5017, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6684, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8947, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6965, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7543, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2038, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7709, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9024, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.8121, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4526, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9714, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1766, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.6964, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4082, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2608, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0883, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5646, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.6724, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9338, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0123, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9925, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6073, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1040, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7482, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7944, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0897, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8514, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3960, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.7359, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.9748, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4511, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6976, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2760, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.4907, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9445, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5598, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.0479, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6676, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3330, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2322, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9059, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7718, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0996, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9537, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8506, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5438, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6487, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4307, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5835, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3085, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9749, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3182, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1799, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5334, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3647, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7161, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6990, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.6239, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5983, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6032, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.2928, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8828, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2104, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1640, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5306, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9595, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.2768, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.9075, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.7267, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7013, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8017, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2120, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0695, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5296, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0807, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8116, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9912, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9394, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4168, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9355, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5180, device='cuda:0', grad_fn=<NllLossBackward0>)
