Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/feature_extraction_beit.py:28: FutureWarning: The class BeitFeatureExtractor is deprecated and will be removed in version 5 of Transformers. Please use BeitImageProcessor instead.
  warnings.warn(
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/models/beit/image_processing_beit.py:110: FutureWarning: The `reduce_labels` parameter is deprecated and will be removed in a future version. Please use `do_reduce_labels` instead.
  warnings.warn(
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
Special tokens have been added in the vocabulary, make sure the associated word embeddings are fine-tuned or trained.
epoch: 0
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
It looks like you are trying to rescale already rescaled images. If the input images have pixel values between 0 and 1, set `do_rescale=False` to avoid rescaling them again.
/home/jsamper/anaconda3/envs/myenv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2619: FutureWarning: The `pad_to_max_length` argument is deprecated and will be removed in a future version, use `padding=True` or `padding='longest'` to pad to the longest sequence in the batch, or use `padding='max_length'` to pad to a max length. In this case, you can give a specific length with `max_length` (e.g. `max_length=45`) or leave max_length to None to pad to the maximal input size of the model (e.g. 512 for Bert).
  warnings.warn(
tensor(4.0273, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6947, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3047, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8571, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.5749, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0424, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9736, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.2250, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4408, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6373, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9463, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3446, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8400, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0078, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.5066, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8406, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8450, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.8857, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2049, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2469, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8672, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6492, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7047, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.6204, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0809, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7298, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2737, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1539, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.9531, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7218, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8212, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1877, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2284, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3050, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1715, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0945, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5812, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2169, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6433, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6038, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6667, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.4437, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4805, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2795, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8716, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2406, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7457, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.2004, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5793, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5686, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9271, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1702, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2418, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5575, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.5233, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1253, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4029, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1169, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.2145, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7750, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.9721, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5285, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.8857, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4504, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6275, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5061, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.1318, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6445, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1244, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8252, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7591, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.4545, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0635, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3252, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.9035, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.4842, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3029, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7035, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.6285, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7733, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.0961, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4806, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.1959, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.1252, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.3464, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6554, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.8953, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.5556, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.3063, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.6096, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(0.7295, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.3707, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.7750, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(2.8529, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(1.5241, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.2246, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4762, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0963, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.3174, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4056, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.7493, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.4120, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(4.5044, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.0511, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.7686, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(5.0290, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.6989, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(3.4200, device='cuda:0', grad_fn=<NllLossBackward0>)
